date,time,pump,capacity,anomaly,type,vib1_x,vib1_y,vib1_z,vib2_x,vib2_y,vib2_z,amp1,amp2,mic1,mic2
19/07/21,11:04:00,big,50,anomaly1,1,3.338297213,2.906718267,2.754396284,0.383465687,0.385099265,0.428366422,0.175016996,2.114716308,81.38111063,84.91746589
19/07/21,11:04:30,big,50,anomaly1,1,3.454611462,3.042162126,2.465675747,0.447480178,0.398211454,0.454634362,0.192182957,2.118578767,81,84.63143415
19/07/21,11:05:00,big,50,anomaly1,1,2.904927067,2.911231767,2.53326094,0.394535512,0.375450817,0.435450817,0.182753634,2.147880742,81,81
19/07/21,11:05:30,big,50,anomaly1,1,3.565808957,3.252904479,2.781460959,0.37159989,0.37,0.42159989,0.188610251,2.159106864,81,81
19/07/21,11:06:00,big,50,anomaly1,1,3.65755971,4.125093477,2.311723769,0.395126339,0.353249107,0.436750893,0.175032022,2.194295277,81,81
19/07/21,11:06:30,big,50,anomaly1,1,4.321802385,4.265088878,2.894530786,0.44148011,0.358296022,0.44,0.160381515,2.167394737,81.5956422,81
19/07/21,11:07:00,big,50,anomaly1,1,4.159888162,4.050829892,3.149170108,0.39258632,0.384605863,0.44,0.173303879,2.164840683,83.77449646,84.66911911
19/07/21,11:07:30,big,50,anomaly1,1,4.623353889,4.188503181,3.030059717,0.405231734,0.406821156,0.431589422,0.181232587,2.196535031,83.23873217,85.37268566
19/07/21,11:08:00,big,50,anomaly1,1,4.075617431,3.495030552,2.342858293,0.38483378,0.39322252,0.43,0.165350592,2.169723941,81.41778574,81
19/07/21,11:08:30,big,50,anomaly1,1,4.264757744,3.571464337,2.778296108,0.413197701,0.406598851,0.43,0.179002913,2.146042902,81,81.4450533
19/07/21,11:09:00,big,50,anomaly1,1,3.50463577,3.097761272,2.564152805,0.378923967,0.401784793,0.421784793,0.185531675,2.168423077,81.57217725,83.32230034
